Date,Calories,Distance,Low_latitude,Low_longitude,High_latitude,High_longitude,Average_speed,Max_speed,Min_speed,Step_count,Average_weight,Max_weight,Min_weight,Move ,Heart_point,Heart_minutes,Biking_duration,Inactive_duration,Walking_duration,Running_duration
01-29-20,1855.505013,3184.361747,12.9859678,80.2269453,12.9918317,80.235647,0.494566142,3.754081964,0.078768007,3359,,,,107,59,59,3667938,78440794,2004106,
01-30-20,1895.863092,5324.060933,12.9838897,80.2270823,12.991882,80.2360573,0.532937291,3.05577755,0,5029,,,,126,54,53,3213194,76564821,3191415,
01-31-20,1764.87811,5312.016375,12.9837369,80.2282951,12.9916803,80.2354564,0.517117839,5.095507145,0.082957156,4522,,,,83,24,24,1634852,79578200,2386404,
02-01-20,1833.727008,5060.532171,12.9843819,80.2323556,12.9933703,80.2360321,0.452372996,4.331264019,0.028250832,4478,,,,125,61,61,3791713,75634427,1472647,
02-02-20,1876.63242,7065.932221,12.9809999,80.2332383,12.9919343,80.2384964,0.713525518,12.32612801,0.168713152,6245,,,,121,45,45,2712052,71186729,3315014,
02-03-20,2101.69872,12455.35961,12.9843613,80.2294559,13.052593,80.2416615,0.821462546,22.05864143,0.037524808,5345,,,,136,61,61,4056886,73167080,3417804,
02-04-20,2059.689847,8209.967097,12.9840061,80.2271011,12.9916258,80.2361262,0.553191615,8,0,2989,,,,142,103,103,6739293,73806134,2460005,
02-05-20,1999.057661,7547.184988,12.9786205,80.1906385,12.990435,80.239109,0.477948559,4.989999771,0.251720071,6903,,,,140,63,63,3672708,73773761,4602496,
02-06-20,1801.0087,5732.488438,12.9840367,80.2270943,12.9918768,80.2360497,0.745355406,3.360660076,0.021712363,4863,,,,106,39,39,2412311,77317779,2328085,
02-07-20,1998.819606,7702.457433,12.9840846,80.2271514,12.9918654,80.2366918,0.565716253,3,0.003301031,4410,,,,145,79,79,5435984,74875346,2738827,
